Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
6,Janna,6,4,2,0.6666666666666666,0.0,4.0,18.3,10402,0.0
6,Malphite,3,0,3,0,1.3,4.7,3.0,7137,0.0
6,Morgana,1,0,1,0,2.0,8.0,7.0,8275,0.0
6,Soraka,1,0,1,0,0.0,5.0,7.0,5714,0.0
7,Lulu,19,15,4,0.7894736842105263,0.8,3.4,17.8,10555,0.0
7,Janna,6,4,2,0.6666666666666666,0.8,2.5,17.0,9991,0.0
7,Malphite,5,1,4,0.2,2.2,4.0,9.6,10755,0.0
7,Poppy,5,0,5,0,2.4,5.0,5.8,9509,0.0
7,Nautilus,3,1,2,0.3333333333333333,2.3,5.7,10.0,12198,0.0
7,Taric,3,1,2,0.3333333333333333,1.3,5.0,14.3,8980,0.0
7,Karma,2,1,1,0.5,1.5,5.5,16.5,11058,0.0
7,Gragas,2,0,2,0,3.0,10.0,7.01,13096,0.0
7,Soraka,2,0,2,0,0.0,5.5,7.5,6258,0.0
7,Sona,1,1,0,100,2.0,7.0,18.0,9417,0.0
7,Galio,1,1,0,100,4.0,4.0,8.0,14546,0.0
7,Sion,1,0,1,0,1.0,9.0,2.0,5850,0.0
7,Nunu &amp; ,1,0,1,0,4.0,11.0,10.0,9101,0.0
7,Morgana,1,0,1,0,3.0,4.0,11.0,10587,0.0
7,Nami,1,0,1,0,1.0,8.0,14.0,9419,0.0
8,Taric,37,21,16,0.5675675675675675,1.7,3.3,16.6,9482,0.0
8,Leona,27,17,10,0.6296296296296297,1.8,4.3,14.6,8755,0.0
8,Lulu,16,8,8,0.5,1.2,3.9,17.4,9107,0.0
8,Varus,5,4,1,0.8,5.8,2.6,8.8,12532,0.0
8,Karma,5,3,2,0.6,1.8,3.2,10.2,8113,0.0
8,Morgana,4,1,3,0.25,1.5,3.8,12.5,8902,0.0
8,Poppy,3,2,1,0.6666666666666666,5.3,3.0,6.7,11270,0.0
8,Janna,3,1,2,0.3333333333333333,0.7,3.0,9.7,6845,0.0
8,Bard,1,1,0,100,5.0,6.0,14.0,12214,0.0
8,Miss ,1,0,1,0,12.0,2.0,7.0,13317,0.0
8,Ornn,1,0,1,0,4.0,3.0,2.0,8680,0.0
8,Xerath,1,0,1,0,3.0,5.0,6.0,8153,0.0
8,Gragas,1,0,1,0,6.0,4.0,7.0,9996,0.0
9,Karma,19,12,7,0.631578947368421,2.2,4.9,13.5,8379,0.6
9,Morgana,13,9,4,0.6923076923076923,3.0,4.2,13.0,8675,0.7
9,Janna,5,3,2,0.6,1.0,5.0,12.8,8485,0.5
9,Warwick,4,3,1,0.75,5.3,5.5,9.5,10316,4.8
9,Leona,3,2,1,0.6666666666666666,4.7,4.7,9.7,9840,1.6
9,Nami,2,2,0,100,2.0,4.5,17.0,9443,0.2
9,Taric,2,0,2,0,0.5,5.0,11.0,6325,1.2
9,Lulu,2,0,2,0,0.5,5.5,6.5,6007,0.5
9,Nautilus,1,1,0,100,1.0,6.0,24.0,8570,1.2
9,Fiddlesticks,1,1,0,100,1.0,9.0,17.0,10246,0.8
9,Rammus,1,0,1,0,1.0,5.0,2.0,5541,4.5
9,Braum,1,0,1,0,1.0,5.0,9.0,6218,1.8
9,Blitzcrank,1,0,1,0,2.0,8.0,13.0,8290,1.1
9,Yuumi,1,0,1,0,2.0,9.0,27.0,10875,0.6
10,Leona,31,20,11,0.6451612903225806,1.7,3.9,12.2,7252,1.1
10,Karma,28,15,13,0.5357142857142857,1.8,4.4,13.1,7919,0.7
10,Braum,13,10,3,0.7692307692307693,1.5,4.0,13.4,7109,1.0
10,Sivir,9,7,2,0.7777777777777778,4.4,3.1,6.3,10975,7.6
10,Morgana,5,1,4,0.2,1.6,5.8,10.4,6723,0.6
10,Warwick,4,3,1,0.75,7.8,7.0,10.3,12616,5.3
10,Malphite,3,1,2,0.3333333333333333,3.0,3.7,4.0,8260,6.1
10,Nautilus,3,1,2,0.3333333333333333,2.3,7.0,13.7,8292,1.2
10,Lulu,3,1,2,0.3333333333333333,2.0,3.3,9.3,6541,0.3
10,Taric,3,0,3,0,1.3,5.0,7.3,5860,1.1
10,Sejuani,2,2,0,100,4.0,3.5,12.0,11216,5.9
10,Poppy,2,1,1,0.5,3.0,2.0,8.0,10742,6.7
10,Ashe,2,1,1,0.5,2.5,5.0,9.5,8688,5.7
10,Blitzcrank,1,1,0,100,2.0,5.0,12.0,8672,1.1
10,Wukong,1,1,0,100,6.0,4.0,17.0,14861,5.5
10,Jarvan ,1,0,1,0,9.0,5.0,15.0,14045,6.3
10,Maokai,1,1,0,100,6.0,5.0,23.0,12716,4.5
10,Vladimir,1,0,1,0,1.0,6.0,7.0,11639,7.1
10,Shen,1,0,1,0,0.0,7.0,2.0,8852,5.4
10,Bard,1,0,1,0,3.0,12.0,6.0,6174,0.4
10,Rakan,1,0,1,0,2.0,4.0,2.0,5905,1.2
10,Thresh,1,0,1,0,2.0,10.0,14.0,8723,0.9
11,Braum,35,28,7,0.8,1.5,3.7,16.3,7981,1.1
11,Karma,25,16,9,0.64,2.3,5.3,14.6,8462,0.9
11,Leona,17,7,10,0.4117647058823529,2.1,5.9,15.0,8154,1.1
11,Lulu,7,4,3,0.5714285714285714,1.3,5.3,18.1,8104,0.4
11,Swain,5,1,4,0.2,5.0,8.0,16.8,10876,1.3
11,Bard,4,3,1,0.75,4.5,5.0,20.3,9463,0.5
11,Morgana,4,3,1,0.75,3.0,4.5,8.8,8183,3.8
11,Kai',4,2,2,0.5,11.0,3.8,5.0,13818,7.4
11,Sivir,4,1,3,0.25,9.0,6.0,7.8,13775,7.3
11,Cho',3,2,1,0.6666666666666666,7.7,7.0,15.7,15558,5.9
11,Trundle,3,1,2,0.3333333333333333,4.3,6.0,12.7,9877,4.9
11,Miss ,3,1,2,0.3333333333333333,11.0,8.0,6.0,16211,8.3
11,Warwick,2,1,1,0.5,6.0,8.0,13.5,11878,4.0
11,Ryze,2,0,2,0,4.5,10.0,10.5,14517,6.3
11,Taliyah,1,1,0,100,3.0,5.0,10.0,7729,0.8
11,Brand,1,1,0,100,9.0,7.0,9.0,11863,1.2
11,Rumble,1,0,1,0,16.0,9.0,14.0,20844,6.1
11,Shen,1,0,1,0,0.0,4.0,3.0,6096,5.2
11,Galio,1,0,1,0,2.0,7.0,14.0,6989,1.6
11,Janna,1,0,1,0,3.0,11.0,18.0,10714,0.6
11,Cassiopeia,1,0,1,0,3.0,10.0,3.0,11228,8.2
11,Xayah,1,0,1,0,1.0,7.0,2.0,6768,6.0
11,Kayle,1,0,1,0,1.0,9.0,0.0,7111,5.9
11,Ashe,1,0,1,0,2.0,8.0,4.0,7031,5.4
11,Poppy,1,0,1,0,1.0,4.0,5.0,11270,6.0
