Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
8,Jhin,8,4,4,0.5,1.1,8.0,6.9,8168,0.0
8,Kha Zix,6,1,5,0.16666666666666666,6.2,9.3,5.8,10781,0.0
8,Syndra,5,2,3,0.4,2.8,8.8,2.8,6510,0.0
8,Ezreal,3,1,2,0.3333333333333333,3.0,7.0,4.7,7096,0.0
8,Varus,2,0,2,0,3.5,11.5,8.5,8437,0.0
8,Draven,1,0,1,0,1.0,10.0,0.0,4167,0.0
8,Fizz,1,0,1,0,2.0,9.0,0.0,3845,0.0
8,Xerath,1,0,1,0,0.0,5.0,1.0,3866,0.0
8,Gragas,1,0,1,0,0.0,2.0,0.0,3022,0.0
8,Nasus,1,0,1,0,3.0,14.0,1.0,9791,0.0
8,Soraka,1,0,1,0,0.0,8.0,7.0,5475,0.0
10,Vladimir,12,5,7,0.4166666666666667,4.8,7.6,5.9,9726,4.7
10,Sett,9,5,4,0.5555555555555556,9.1,5.7,6.1,12898,5.1
10,Nasus,4,2,2,0.5,5.5,5.8,2.3,10001,5.9
10,Galio,4,2,2,0.5,3.8,5.8,6.5,9072,3.6
10,Syndra,4,2,2,0.5,9.3,7.3,7.5,11774,4.1
10,Trundle,3,2,1,0.6666666666666666,4.3,6.3,6.3,9562,5.2
10,Kha Zix,3,0,3,0,5.7,9.3,4.3,9909,4.4
10,Darius,2,2,0,1,6.0,4.0,5.0,9072,4.5
10,Katarina,2,0,2,0,2.0,7.5,1.5,6552,3.9
10,Caitlyn,2,0,2,0,0.5,7.5,8.0,6557,3.0
10,Ezreal,2,0,2,0,6.0,5.0,5.0,7430,3.3
10,Evelynn,1,1,0,1,7.0,12.0,10.0,13893,3.3
10,Mordekaiser,1,1,0,1,4.0,5.0,3.0,10794,4.9
10,Kai Sa,1,0,1,0,5.0,6.0,0.0,7248,4.3
10,Olaf,1,0,1,0,4.0,8.0,0.0,8211,4.7
10,Cho Gath,1,0,1,0,11.0,10.0,11.0,18817,5.2
10,Yasuo,1,0,1,0,1.0,5.0,0.0,5568,3.0
11,Vladimir,81,40,41,0.49382716049382713,8.2,6.1,8.2,11050,4.8
11,Fizz,57,32,25,0.5614035087719298,10.3,5.8,6.9,11390,4.1
11,Viego,46,25,21,0.5434782608695652,8.8,6.0,7.6,11180,4.4
11,Kayn,29,21,8,0.7241379310344828,8.9,7.5,9.2,11760,4.7
11,Kai Sa,27,11,16,0.4074074074074074,9.6,7.2,7.8,12737,5.4
11,Shaco,21,7,14,0.3333333333333333,12.8,8.4,8.4,13088,3.9
11,Sett,14,10,4,0.7142857142857143,5.9,5.6,9.4,9722,3.1
11,Nocturne,12,6,6,0.5,8.3,7.1,7.3,10869,4.7
11,Kha Zix,9,4,5,0.4444444444444444,10.4,7.6,5.9,11955,4.2
11,Galio,7,3,4,0.42857142857142855,6.4,8.4,13.7,10293,3.4
11,Pantheon,6,5,1,0.8333333333333334,8.7,6.2,9.2,10368,3.5
11,Trundle,6,3,3,0.5,6.7,5.3,10.2,9715,4.1
11,Kog Maw,6,3,3,0.5,10.5,7.3,7.3,12508,4.5
11,Warwick,5,5,0,1,10.4,7.0,8.0,11397,3.7
11,Lucian,4,1,3,0.25,11.5,7.3,6.8,12801,5.1
11,Nasus,4,0,4,0,4.0,6.3,4.0,9330,5.0
11,Ezreal,3,2,1,0.6666666666666666,8.0,3.7,5.0,9988,5.2
11,Cho Gath,3,2,1,0.6666666666666666,7.0,3.3,8.0,10910,5.2
11,Talon,3,0,3,0,3.3,10.3,9.3,9945,4.4
11,Yorick,2,1,1,0.5,8.0,6.0,5.5,11125,5.2
11,Jarvan IV,2,1,1,0.5,6.5,9.5,16.5,10724,3.7
11,Darius,2,1,1,0.5,3.0,5.0,0.5,6796,4.7
11,Veigar,2,0,2,0,6.5,7.0,4.0,8058,4.0
11,Kassadin,2,0,2,0,1.0,9.0,4.0,6491,3.4
11,Zac,2,0,2,0,5.0,7.0,8.0,10357,3.4
11,Graves,1,1,0,1,11.0,7.0,13.0,13657,4.8
11,Shen,1,1,0,1,0.0,3.0,4.0,5125,3.8
11,Ashe,1,0,1,0,5.0,7.0,2.0,8707,4.7
11,Ekko,1,0,1,0,2.0,9.0,4.0,7022,3.4
11,Olaf,1,0,1,0,2.0,10.0,5.0,7885,4.4
11,Syndra,1,0,1,0,4.0,11.0,7.0,11522,3.4
11,Sion,1,0,1,0,3.0,4.0,5.0,5958,1.9
