Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
10,Warwick,19,12,7,0.632,4.4,5.4,8.5,10630,4.2
10,Master Yi,13,6,7,0.462,5.0,6.5,6.4,9883,4.5
10,Amumu,1,0,1,0,2.0,13.0,3.0,9531,3.2
11,Master Yi,35,23,12,0.657,7.9,5.9,6.7,11408,4.9
11,Amumu,19,14,5,0.737,3.4,4.1,9.0,8954,4.5
11,Zac,12,8,4,0.667,2.9,4.8,11.8,9268,4.3
11,Warwick,11,7,4,0.636,6.9,5.1,9.8,11463,4.7
11,Nunu Willump,7,2,5,0.286,3.0,7.1,12.7,9501,3.8
11,Miss Fortune,3,2,1,0.667,7.7,7.0,9.7,12357,4.6
11,Hecarim,1,0,1,0,0.0,5.0,2.0,5756,3.8
11,Lux,1,0,1,0,3.0,9.0,7.0,8427,4.0
11,Lee Sin,1,0,1,0,0.0,6.0,2.0,4277,2.9
