Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
7,Bard,18,12,6,0.667,4.3,5.3,16.1,11174,0.0
7,Sona,15,12,3,0.8,3.5,5.9,17.4,11727,0.0
7,Anivia,14,8,6,0.571,6.1,5.0,8.3,11747,0.0
7,Soraka,13,9,4,0.692,1.4,4.7,18.3,10566,0.0
7,Shen,10,3,7,0.3,2.7,4.9,10.1,9367,0.0
7,Thresh,9,6,3,0.667,2.9,5.7,16.6,11087,0.0
7,Taliyah,7,3,4,0.429,6.3,6.4,6.7,10455,0.0
7,Karma,7,3,4,0.429,8.0,6.4,10.1,12115,0.0
7,Lux,7,2,5,0.286,9.9,7.4,14.0,13081,0.0
7,Karthus,6,3,3,0.5,9.0,5.3,5.2,11570,0.0
7,Vel Koz,6,2,4,0.333,5.0,6.0,12.3,12395,0.0
7,Galio,5,4,1,0.8,4.0,6.2,11.6,10517,0.0
7,Nunu Willump,5,4,1,0.8,3.6,5.8,17.6,12905,0.0
7,Lulu,5,3,2,0.6,1.8,5.2,12.4,9968,0.0
7,Ahri,4,2,2,0.5,6.8,7.8,6.0,12123,0.0
7,Zac,4,1,3,0.25,3.5,6.5,19.5,13134,0.0
7,Braum,3,3,0,1,0.3,5.0,20.0,12202,0.0
7,Morgana,3,2,1,0.667,4.7,5.0,7.3,8539,0.0
7,Annie,3,2,1,0.667,8.3,4.7,6.7,9642,0.0
7,Ryze,3,1,2,0.333,6.7,5.0,8.7,10582,0.0
7,Rakan,3,1,2,0.333,1.3,5.3,14.7,10530,0.0
7,Orianna,3,1,2,0.333,6.7,10.7,9.3,11115,0.0
7,Nautilus,3,1,2,0.333,5.0,3.7,11.0,10648,0.0
7,Brand,2,2,0,1,8.0,1.5,12.5,11545,0.0
7,Blitzcrank,2,2,0,1,3.5,6.0,21.5,11267,0.0
7,Ekko,2,2,0,1,7.0,7.0,7.5,11071,0.0
7,Dr. Mundo,2,1,1,0.5,5.5,3.5,11.5,9584,0.0
7,Rammus,2,1,1,0.5,4.0,6.5,17.0,10523,0.0
7,Elise,2,0,2,0,6.5,11.0,12.0,12953,0.0
7,Amumu,2,0,2,0,1.5,6.5,3.5,7435,0.0
7,Yorick,1,1,0,1,4.0,3.0,10.0,9688,0.0
7,Darius,1,1,0,1,6.0,12.0,18.0,16898,0.0
7,Malzahar,1,1,0,1,3.0,6.0,9.0,14250,0.0
7,Swain,1,0,1,0,3.0,8.0,15.0,10894,0.0
7,Kassadin,1,0,1,0,2.0,14.0,9.0,10708,0.0
7,Diana,1,0,1,0,6.0,11.0,13.0,14774,0.0
7,Tahm Kench,1,0,1,0,1.0,10.0,6.0,8521,0.0
7,Janna,1,0,1,0,0.0,4.0,11.0,8239,0.0
8,Nami,20,12,8,0.6,2.1,5.4,16.9,9127,0.0
8,Lulu,5,4,1,0.8,3.0,5.2,20.8,10820,0.0
8,Bard,4,3,1,0.75,5.5,6.8,14.0,10979,0.0
8,Vel Koz,4,0,4,0,4.3,6.8,6.3,8372,0.0
8,Rakan,3,3,0,1,2.3,5.3,17.7,11161,0.0
8,Miss Fortune,3,2,1,0.667,5.3,5.0,9.0,12911,0.0
8,Lux,2,2,0,1,4.0,2.5,11.0,10622,0.0
8,Zyra,2,1,1,0.5,4.5,3.5,11.5,9020,0.0
8,Nautilus,2,1,1,0.5,2.5,6.5,10.5,8725,0.0
8,Leona,2,1,1,0.5,3.0,5.0,7.0,7524,0.0
8,Ezreal,2,1,1,0.5,4.5,3.0,12.5,9943,0.0
8,Anivia,2,1,1,0.5,4.0,7.5,13.0,10147,0.0
8,Karthus,2,1,1,0.5,6.5,5.5,8.0,10548,0.0
8,Alistar,2,1,1,0.5,2.0,5.5,22.5,10579,0.0
8,Soraka,1,1,0,1,1.0,2.0,14.0,8388,0.0
8,Janna,1,1,0,1,0.0,2.0,15.0,9708,0.0
8,Annie,1,1,0,1,11.0,13.0,18.0,15563,0.0
8,Brand,1,1,0,1,10.0,5.0,8.0,10164,0.0
8,Blitzcrank,1,0,1,0,4.0,8.0,14.0,10053,0.0
8,Zoe,1,0,1,0,2.0,13.0,0.0,5278,0.0
9,Nami,6,5,1,0.833,3.2,6.8,18.3,10237,0.5
9,Morgana,6,3,3,0.5,2.3,6.3,13.7,8573,1.1
9,Neeko,5,1,4,0.2,3.2,4.8,5.6,9761,4.3
9,Galio,2,2,0,1,3.5,4.0,11.0,8227,2.9
9,Taliyah,2,1,1,0.5,1.0,4.5,4.5,6754,4.3
9,Karma,2,0,2,0,2.0,6.5,9.0,7644,1.0
9,Braum,1,1,0,1,0.0,3.0,15.0,6600,1.3
9,Rakan,1,0,1,0,0.0,4.0,5.0,4881,0.5
10,Karma,1,1,0,1,1.0,2.0,10.0,6504,0.4
10,Nami,1,1,0,1,2.0,3.0,6.0,6127,0.3
10,Thresh,1,0,1,0,0.0,6.0,5.0,5812,1.1
10,Lulu,1,0,1,0,0.0,7.0,3.0,5899,0.4
11,Fizz,2,0,2,0,7.0,10.0,1.5,9606,4.2
11,Neeko,1,0,1,0,7.0,7.0,10.0,14096,5.6
11,Soraka,1,0,1,0,0.0,9.0,8.0,6912,0.7
