Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
7,Illaoi,6,3,3,0.5,3.2,4.5,2.5,10534,0.0
7,Heimerdinger,2,0,2,0,0.5,2.5,0.5,5421,0.0
8,Heimerdinger,70,40,30,0.571,4.1,5.1,5.4,10057,0.0
8,Shen,53,26,27,0.491,3.5,5.1,8.2,10288,0.0
8,Illaoi,12,5,7,0.417,2.6,4.9,3.9,10370,0.0
8,Cho Gath,7,3,4,0.429,4.0,4.9,4.0,9212,0.0
8,Blitzcrank,4,2,2,0.5,4.3,6.3,6.8,7702,0.0
8,Wukong,2,1,1,0.5,6.0,4.5,7.5,10772,0.0
8,Hecarim,2,1,1,0.5,2.0,6.0,6.0,8968,0.0
8,Xerath,2,1,1,0.5,2.5,8.0,7.0,9035,0.0
8,Kassadin,2,0,2,0,3.5,8.0,3.5,10019,0.0
8,Soraka,1,1,0,1,1.0,6.0,5.0,5249,0.0
8,Warwick,1,0,1,0,2.0,8.0,4.0,11054,0.0
9,Illaoi,41,23,18,0.561,6.0,5.2,4.4,12285,6.4
9,Shen,39,17,22,0.436,3.0,5.1,8.4,8388,2.4
9,Heimerdinger,19,8,11,0.421,3.4,5.1,5.6,9805,5.2
9,Ornn,12,4,8,0.333,2.7,5.1,5.9,8288,3.6
9,Nasus,7,1,6,0.143,5.1,5.6,4.9,9875,5.0
9,Blitzcrank,4,3,1,0.75,1.3,4.0,4.0,6010,1.6
9,Sejuani,4,3,1,0.75,2.5,4.3,8.5,10202,4.2
9,Nautilus,4,2,2,0.5,0.8,7.8,7.5,6506,1.2
9,Morgana,3,1,2,0.333,0.7,8.3,10.3,7456,0.3
9,Karma,2,1,1,0.5,2.5,6.0,5.5,7227,0.5
9,Hecarim,2,1,1,0.5,8.0,9.5,6.5,12355,3.9
9,Cho Gath,2,1,1,0.5,2.5,6.0,2.5,8848,4.9
9,Garen,1,1,0,1,3.0,5.0,5.0,11517,5.6
9,Urgot,1,1,0,1,2.0,4.0,5.0,10526,2.8
9,Rumble,1,0,1,0,2.0,7.0,5.0,8441,4.3
10,Illaoi,113,59,54,0.522,5.7,5.3,3.3,11829,6.5
10,Shen,16,7,9,0.438,2.3,3.7,8.1,8444,4.4
10,Sett,12,5,7,0.417,4.3,5.8,5.1,9738,5.0
10,Kayn,10,4,6,0.4,5.7,6.7,5.9,10526,4.6
10,Heimerdinger,7,6,1,0.857,4.7,5.0,5.0,10115,5.6
10,Ornn,7,2,5,0.286,3.6,5.9,5.0,9953,5.6
10,Nasus,4,3,1,0.75,2.3,5.5,6.0,9100,5.6
10,Mordekaiser,4,2,2,0.5,3.8,3.5,0.3,7800,6.3
10,Blitzcrank,3,2,1,0.667,2.3,5.7,9.0,8711,1.0
10,Fiddlesticks,3,2,1,0.667,3.3,6.0,5.0,7581,2.2
10,Pyke,3,1,2,0.333,3.0,9.3,7.3,10170,1.1
10,Hecarim,3,1,2,0.333,3.3,4.7,5.3,9276,5.4
10,Volibear,2,2,0,1,3.0,3.0,5.0,8199,4.6
10,Warwick,2,2,0,1,10.0,3.0,3.5,9974,4.9
10,Zilean,2,1,1,0.5,1.0,3.5,9.0,7238,1.0
10,Rengar,2,1,1,0.5,5.0,7.5,9.5,10772,4.0
10,Trundle,2,0,2,0,6.5,5.5,4.5,9691,4.7
10,Pantheon,2,0,2,0,3.0,6.0,2.5,10039,4.7
10,Nautilus,1,1,0,1,1.0,4.0,4.0,6507,1.1
10,Master Yi,1,1,0,1,4.0,4.0,2.0,7503,6.2
10,Aphelios,1,1,0,1,4.0,11.0,9.0,14151,3.9
10,Amumu,1,0,1,0,1.0,8.0,5.0,8012,4.7
10,Thresh,1,0,1,0,0.0,5.0,5.0,4291,1.8
10,Galio,1,0,1,0,1.0,5.0,2.0,4077,3.7
10,Evelynn,1,0,1,0,1.0,7.0,6.0,8714,4.1
10,Veigar,1,0,1,0,0.0,6.0,7.0,7370,0.6
11,Heimerdinger,63,39,24,0.619,5.1,4.9,7.6,10711,5.0
11,Illaoi,62,30,32,0.484,5.6,4.9,4.0,11779,6.6
11,Shen,33,14,19,0.424,4.0,4.5,8.5,9185,4.5
11,Volibear,31,17,14,0.548,4.5,5.3,7.1,10427,4.9
11,Xerath,6,4,2,0.667,4.2,4.7,7.7,8463,1.4
11,Ziggs,3,1,2,0.333,7.3,7.0,6.3,10513,4.4
11,Warwick,2,0,2,0,3.0,5.5,2.0,6464,3.6
11,Mordekaiser,1,1,0,1,6.0,11.0,8.0,11873,3.5
11,Kayn,1,0,1,0,8.0,12.0,9.0,14392,4.5
11,Fiddlesticks,1,0,1,0,2.0,11.0,6.0,10814,3.4
11,Pantheon,1,0,1,0,5.0,7.0,9.0,14649,4.8
11,Gwen,1,0,1,0,6.0,13.0,7.0,9700,3.2
11,Vi,1,0,1,0,5.0,9.0,3.0,9246,3.9
11,Ornn,1,0,1,0,2.0,6.0,11.0,9784,5.0
11,Wukong,1,0,1,0,6.0,12.0,11.0,10898,3.7
