Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
3,Jarvan IV,7,4,3,0.571,4.0,3.9,14.1,10927,0.0
3,Lux,4,3,1,0.75,4.3,4.3,8.8,10420,0.0
3,Fiora,3,2,1,0.667,3.0,4.7,6.3,9436,0.0
3,Pantheon,3,2,1,0.667,2.3,3.3,1.0,7939,0.0
3,Vayne,3,0,3,0,2.0,5.0,1.7,6593,0.0
3,Dr. Mundo,1,0,1,0,2.0,6.0,5.0,8607,0.0
3,Jax,1,0,1,0,0.0,2.0,0.0,2925,0.0
3,Malphite,1,0,1,0,3.0,9.0,4.0,11262,0.0
4,Vayne,69,34,35,0.493,7.6,7.2,6.4,12127,0.0
4,Leona,52,29,23,0.558,1.9,5.1,13.0,9289,0.0
4,Lee Sin,49,24,25,0.49,8.5,6.1,8.2,12170,0.0
4,Thresh,48,24,24,0.5,2.2,6.5,15.4,10140,0.0
4,Riven,47,21,26,0.447,7.1,6.6,6.1,11683,0.0
4,Master Yi,44,26,18,0.591,8.1,6.8,6.5,13103,0.0
4,Jinx,42,23,19,0.548,9.0,8.0,8.0,13109,0.0
4,Fiora,39,27,12,0.692,9.4,6.5,5.6,12606,0.0
4,Katarina,38,26,12,0.684,10.3,7.0,8.2,12091,0.0
4,Pantheon,29,18,11,0.621,7.5,6.6,7.0,11506,0.0
4,Malphite,27,14,13,0.519,3.6,4.6,11.8,11072,0.0
4,Ashe,26,13,13,0.5,8.4,6.3,7.4,11838,0.0
4,Kha Zix,21,9,12,0.429,8.0,6.2,6.6,11375,0.0
4,Ahri,19,9,10,0.474,7.1,7.2,6.8,11724,0.0
4,Tristana,19,5,14,0.263,6.4,5.8,5.8,11726,0.0
4,Udyr,18,10,8,0.556,7.1,5.1,7.1,13275,0.0
4,Annie,18,7,11,0.389,5.8,7.9,8.8,10657,0.0
4,Draven,15,6,9,0.4,6.8,7.1,5.5,11764,0.0
4,Jax,14,9,5,0.643,6.0,5.9,7.1,11444,0.0
4,Sivir,14,9,5,0.643,7.3,5.8,9.6,13755,0.0
4,Lux,14,7,7,0.5,6.5,6.7,10.0,11194,0.0
4,Jarvan IV,13,8,5,0.615,4.5,4.2,7.2,9206,0.0
4,Xin Zhao,13,8,5,0.615,9.5,6.8,6.1,12354,0.0
4,Darius,12,4,8,0.333,7.4,6.0,6.2,11271,0.0
4,Nasus,12,2,10,0.167,4.9,6.3,4.3,11043,0.0
4,Morgana,11,6,5,0.545,3.8,6.5,10.4,10552,0.0
4,LeBlanc,11,4,7,0.364,10.2,6.6,6.1,12729,0.0
4,Vi,10,5,5,0.5,6.4,7.0,9.8,13089,0.0
4,Blitzcrank,9,5,4,0.556,3.4,6.0,14.6,11297,0.0
