Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
10,Mordekaiser,2,2,0,1,7.0,8.0,5.5,10782,4.1
10,Vladimir,1,0,1,0,2.0,10.0,8.0,11070,5.6
10,Yorick,1,0,1,0,7.0,7.0,4.0,14021,7.2
10,Lulu,1,0,1,0,0.0,5.0,3.0,5274,0.2
11,Yorick,47,26,21,0.553,6.0,3.3,3.6,12668,7.4
11,Malzahar,27,18,9,0.667,5.3,4.0,8.2,12272,6.9
11,Skarner,3,0,3,0,1.0,5.7,7.3,8086,4.8
11,Lulu,2,2,0,1,1.0,4.0,13.5,6849,1.1
11,Fiddlesticks,2,1,1,0.5,2.0,3.0,5.5,6563,5.3
11,Warwick,2,0,2,0,4.0,4.0,5.5,9524,4.3
11,Graves,2,0,2,0,4.0,8.0,3.5,8694,6.3
11,Caitlyn,1,1,0,1,4.0,2.0,13.0,9620,4.6
11,Rakan,1,0,1,0,1.0,9.0,12.0,7599,0.9
11,Darius,1,0,1,0,15.0,8.0,11.0,19016,5.8
11,Ekko,1,0,1,0,3.0,7.0,5.0,10264,4.2
11,Talon,1,0,1,0,1.0,11.0,2.0,6583,3.5
11,Sylas,1,0,1,0,1.0,5.0,1.0,5818,4.8
11,Fiora,1,0,1,0,9.0,9.0,3.0,12356,4.5
11,Yuumi,1,0,1,0,1.0,5.0,14.0,7908,0.4
