Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
7,Tristana,30,15,15,0.5,7.1,5.6,8.4,12756,0.0
7,Lulu,20,15,5,0.75,1.5,5.4,15.3,9577,0.0
7,Alistar,14,7,7,0.5,2.8,4.9,14.2,9106,0.0
7,Warwick,11,6,5,0.545,6.6,5.3,7.2,11491,0.0
7,Xayah,11,2,9,0.182,5.4,5.1,4.5,10651,0.0
7,Kog Maw,7,4,3,0.571,7.9,7.0,7.7,13196,0.0
7,Soraka,6,5,1,0.833,0.7,7.5,21.2,12259,0.0
7,Twitch,3,1,2,0.333,3.3,6.7,7.7,10727,0.0
7,Janna,2,1,1,0.5,0.5,6.5,14.0,8819,0.0
7,Poppy,2,0,2,0,6.0,5.5,14.0,13149,0.0
7,Jax,1,1,0,1,12.0,9.0,11.0,14517,0.0
7,Ashe,1,1,0,1,5.0,0.0,7.0,9736,0.0
7,Zed,1,1,0,1,11.0,4.0,7.0,13174,0.0
8,Sejuani,13,7,6,0.538,4.8,5.7,12.4,10477,0.0
8,Ezreal,13,7,6,0.538,7.5,3.5,8.5,12394,0.0
8,Jhin,11,7,4,0.636,7.9,4.9,8.1,11529,0.0
8,Xayah,8,3,5,0.375,6.0,5.4,7.1,10418,0.0
8,Graves,8,3,5,0.375,6.1,5.1,7.1,11913,0.0
8,Jarvan IV,7,4,3,0.571,6.1,6.0,14.9,11582,0.0
8,Alistar,6,5,1,0.833,2.2,4.0,14.2,8268,0.0
8,Tristana,6,1,5,0.167,5.7,7.7,7.7,10586,0.0
8,Gragas,5,2,3,0.4,4.4,5.6,5.8,8716,0.0
8,Morgana,5,2,3,0.4,4.4,5.8,11.6,9293,0.0
8,Olaf,5,2,3,0.4,6.4,6.0,8.4,13163,0.0
8,Lee Sin,5,2,3,0.4,8.2,7.6,7.8,11663,0.0
8,Lulu,4,3,1,0.75,1.8,7.0,23.0,10757,0.0
8,Poppy,4,2,2,0.5,5.0,5.3,10.0,11975,0.0
8,Jax,2,1,1,0.5,8.0,5.5,7.5,11926,0.0
8,Janna,2,0,2,0,1.5,9.5,18.5,9015,0.0
8,Ashe,1,1,0,1,5.0,1.0,4.0,8151,0.0
8,Sivir,1,0,1,0,4.0,8.0,7.0,11846,0.0
8,Soraka,1,0,1,0,3.0,8.0,25.0,12399,0.0
8,Ryze,1,0,1,0,1.0,6.0,5.0,5640,0.0
9,Kai Sa,33,16,17,0.485,9.2,6.1,6.3,13302,6.7
