Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
6,Soraka,11,4,7,0.364,0.4,5.0,10.2,7849,0.0
6,Sona,5,2,3,0.4,3.6,7.8,15.2,10769,0.0
6,Miss Fortune,5,2,3,0.4,4.2,6.6,8.4,11888,0.0
6,Tahm Kench,4,1,3,0.25,1.5,2.3,4.0,7566,0.0
6,Ezreal,4,1,3,0.25,4.5,7.3,11.5,13408,0.0
6,Ryze,4,1,3,0.25,4.8,7.8,11.8,13625,0.0
6,Anivia,2,2,0,1,2.5,0.0,4.5,5317,0.0
6,Gnar,2,1,1,0.5,5.0,3.5,8.5,10325,0.0
6,Lucian,2,1,1,0.5,6.0,3.5,5.5,11503,0.0
6,Janna,2,0,2,0,1.0,7.0,5.5,6134,0.0
6,Olaf,2,0,2,0,4.0,8.0,4.5,9323,0.0
6,Annie,1,1,0,1,4.0,6.0,4.0,9610,0.0
6,Graves,1,1,0,1,5.0,0.0,6.0,8914,0.0
6,Zilean,1,1,0,1,0.0,1.0,4.0,4088,0.0
6,Garen,1,0,1,0,3.0,4.0,4.0,6649,0.0
6,Quinn,1,0,1,0,2.0,8.0,2.0,6503,0.0
6,Tristana,1,0,1,0,1.0,8.0,3.0,8517,0.0
6,Kindred,1,0,1,0,1.0,10.0,5.0,8576,0.0
6,Teemo,1,0,1,0,1.0,5.0,0.0,4438,0.0
6,Illaoi,1,0,1,0,0.0,7.0,2.0,6270,0.0
6,Blitzcrank,1,0,1,0,0.0,15.0,12.0,9508,0.0
6,Malphite,1,0,1,0,0.0,5.0,1.0,4047,0.0
7,Tahm Kench,7,4,3,0.571,2.1,4.3,6.4,9566,0.0
7,Thresh,5,3,2,0.6,0.8,5.2,10.8,6611,0.0
7,Janna,4,1,3,0.25,1.5,3.3,6.0,6337,0.0
7,Cho Gath,4,1,3,0.25,4.8,6.0,7.5,12384,0.0
7,Lucian,3,3,0,1,8.0,6.7,11.7,14878,0.0
7,Caitlyn,3,2,1,0.667,3.3,5.7,4.3,10007,0.0
7,Gnar,3,1,2,0.333,2.0,5.0,7.7,7989,0.0
