Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
10,Thresh,15,7,8,0.467,1.6,7.3,12.1,7696,0.8
10,Lux,9,5,4,0.556,0.6,5.0,7.9,6768,1.2
10,Morgana,9,3,6,0.333,0.6,4.6,6.0,5552,0.4
10,Brand,9,3,6,0.333,1.6,5.3,4.6,6065,0.6
10,Nautilus,8,5,3,0.625,1.5,6.6,12.1,7455,0.8
10,Pantheon,6,1,5,0.167,2.8,7.8,6.7,6827,1.5
10,Vel Koz,4,0,4,0,1.3,8.0,7.8,7673,0.9
10,Galio,3,2,1,0.667,2.0,8.0,14.3,9316,3.2
10,Rakan,2,1,1,0.5,2.5,8.0,10.0,7846,0.8
10,Zilean,1,0,1,0,0.0,8.0,3.0,4727,1.1
10,Bard,1,0,1,0,2.0,4.0,5.0,7443,1.3
10,Alistar,1,0,1,0,3.0,10.0,11.0,7072,0.7
11,Thresh,20,13,7,0.65,2.2,4.1,14.8,7814,1.0
11,Pyke,13,9,4,0.692,8.0,5.6,11.0,11896,1.1
11,Swain,13,8,5,0.615,6.0,5.3,15.3,10697,1.8
11,Bard,12,7,5,0.583,2.4,2.8,12.5,7581,1.0
11,Senna,10,8,2,0.8,4.1,4.6,18.5,10726,0.9
11,Brand,8,2,6,0.25,2.9,5.0,6.9,7251,1.1
11,Nautilus,7,5,2,0.714,1.6,5.4,17.6,8956,0.9
11,Samira,5,4,1,0.8,2.4,4.6,6.4,8817,5.0
11,Vel Koz,5,1,4,0.2,2.4,7.2,10.2,8234,0.9
11,Braum,4,3,1,0.75,0.8,3.8,13.5,6664,1.1
11,Morgana,4,2,2,0.5,3.0,4.0,13.3,8111,0.9
11,Leona,4,1,3,0.25,2.0,4.3,13.5,7877,1.0
11,Lux,4,0,4,0,2.5,6.8,11.3,7942,1.0
11,Kai Sa,3,2,1,0.667,11.0,7.0,8.0,13991,5.7
11,Seraphine,3,2,1,0.667,2.0,3.7,18.3,8977,1.1
11,Rell,3,1,2,0.333,2.0,4.0,9.3,6383,1.1
11,Lulu,2,2,0,1,0.0,3.0,19.0,8435,0.5
11,Miss Fortune,2,1,1,0.5,3.5,8.0,12.5,12137,5.6
11,Galio,2,1,1,0.5,1.0,3.5,12.0,7997,1.2
11,Blitzcrank,2,1,1,0.5,1.0,6.5,15.0,7754,0.8
11,Sivir,2,1,1,0.5,4.5,3.0,10.5,12997,7.1
11,Pantheon,1,1,0,1,11.0,3.0,7.0,12516,5.6
11,Nami,1,1,0,1,1.0,5.0,19.0,6706,0.4
11,Maokai,1,1,0,1,2.0,5.0,13.0,7873,0.7
11,Xayah,1,1,0,1,2.0,0.0,3.0,5414,6.3
11,Ezreal,1,0,1,0,4.0,4.0,6.0,11459,6.8
11,Kha Zix,1,0,1,0,8.0,6.0,5.0,12165,5.1
11,Aphelios,1,0,1,0,7.0,7.0,6.0,14375,6.3
