Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
5,Thresh,6,3,3,0.5,3.0,5.0,12.3,8367,0.0
5,Vel Koz,4,2,2,0.5,3.8,5.5,6.0,9253,0.0
5,Draven,3,3,0,1,4.3,5.0,7.3,11080,0.0
5,Braum,1,0,1,0,3.0,11.0,8.0,8548,0.0
5,Ryze,1,0,1,0,3.0,8.0,5.0,8465,0.0
5,Tristana,1,0,1,0,2.0,8.0,2.0,5568,0.0
6,Thresh,70,37,33,0.529,3.1,5.5,13.9,9557,0.0
6,Vel Koz,48,33,15,0.688,7.3,5.5,10.2,13136,0.0
6,Lucian,32,18,14,0.562,9.1,6.2,7.9,13196,0.0
6,Bard,30,12,18,0.4,3.6,6.6,12.9,9658,0.0
6,Ashe,19,12,7,0.632,9.2,8.4,11.0,15273,0.0
6,Nidalee,18,9,9,0.5,5.6,5.6,8.7,12356,0.0
6,Gragas,18,9,9,0.5,5.1,4.2,8.9,11482,0.0
6,Braum,13,6,7,0.462,1.4,5.8,14.9,10290,0.0
6,Ezreal,13,5,8,0.385,7.4,5.8,9.5,13357,0.0
6,Corki,12,7,5,0.583,7.2,7.4,8.3,12351,0.0
6,Zed,12,5,7,0.417,7.2,6.8,6.1,12448,0.0
6,Nautilus,10,4,6,0.4,4.3,5.4,11.4,12796,0.0
6,Poppy,9,5,4,0.556,7.9,4.1,9.2,12738,0.0
6,Draven,7,1,6,0.143,6.1,9.6,4.1,12683,0.0
6,Janna,6,4,2,0.667,1.5,5.5,21.8,10242,0.0
6,Graves,6,2,4,0.333,4.3,7.0,5.3,11578,0.0
6,Shen,4,1,3,0.25,2.0,5.3,8.5,12664,0.0
6,Kalista,3,1,2,0.333,13.0,8.7,8.3,15943,0.0
6,Morgana,2,1,1,0.5,2.5,6.0,14.0,10062,0.0
6,Karma,2,1,1,0.5,5.0,8.5,22.0,16050,0.0
6,Annie,2,0,2,0,4.5,7.5,8.0,10575,0.0
6,Jhin,1,1,0,1,8.0,4.0,17.0,13602,0.0
6,Kog Maw,1,1,0,1,3.0,5.0,2.0,11807,0.0
6,Amumu,1,1,0,1,3.0,2.0,15.0,8746,0.0
6,Nunu Willump,1,1,0,1,4.0,7.0,9.0,14972,0.0
6,Master Yi,1,0,1,0,3.0,13.0,6.0,12315,0.0
6,Twisted Fate,1,0,1,0,8.0,11.0,9.0,15139,0.0
6,Riven,1,0,1,0,4.0,3.0,2.0,7183,0.0
6,Ekko,1,0,1,0,0.0,6.0,3.0,9073,0.0
6,Nami,1,0,1,0,5.0,10.0,9.0,13177,0.0
6,Blitzcrank,1,0,1,0,3.0,10.0,12.0,12692,0.0
6,Urgot,1,0,1,0,0.0,8.0,6.0,8150,0.0
6,Lee Sin,1,0,1,0,7.0,8.0,2.0,12242,0.0
7,Thresh,102,56,46,0.549,2.7,5.7,13.4,10000,0.0
7,Lee Sin,64,41,23,0.641,5.7,4.9,9.4,11790,0.0
7,Lucian,42,21,21,0.5,7.7,6.2,7.0,13147,0.0
7,Bard,39,19,20,0.487,4.4,5.8,12.2,10700,0.0
7,Orianna,32,17,15,0.531,4.8,6.6,10.2,12405,0.0
7,Gragas,25,19,6,0.76,4.4,3.4,12.2,11420,0.0
7,Zyra,17,11,6,0.647,4.4,7.0,11.6,11231,0.0
7,Ryze,17,4,13,0.235,4.4,7.6,6.1,10173,0.0
7,Ezreal,16,10,6,0.625,8.1,4.9,9.5,13226,0.0
7,Zed,15,10,5,0.667,6.4,6.9,6.5,12776,0.0
7,Yasuo,14,7,7,0.5,4.4,8.4,6.0,12953,0.0
7,Varus,14,7,7,0.5,6.7,5.7,7.2,11549,0.0
7,Kha Zix,14,6,8,0.429,6.3,4.8,6.6,12844,0.0
7,Kalista,13,4,9,0.308,7.3,6.8,4.8,10872,0.0
7,Karma,11,10,1,0.909,2.7,3.9,16.2,11649,0.0
7,Ekko,11,5,6,0.455,5.8,8.5,5.5,13575,0.0
7,Alistar,10,5,5,0.5,2.0,6.0,10.1,8193,0.0
7,Annie,9,4,5,0.444,5.6,7.7,7.8,11511,0.0
7,Ashe,9,2,7,0.222,5.4,6.8,5.8,11125,0.0
7,Nautilus,8,5,3,0.625,3.4,5.9,13.0,12599,0.0
7,Lux,8,4,4,0.5,7.1,8.3,11.4,13916,0.0
7,Corki,8,4,4,0.5,10.1,7.9,8.4,15276,0.0
7,Viktor,8,4,4,0.5,6.6,7.4,4.6,13345,0.0
7,Ahri,8,3,5,0.375,5.3,6.8,6.9,13033,0.0
7,Rakan,8,3,5,0.375,2.0,4.4,13.9,9066,0.0
7,Blitzcrank,8,2,6,0.25,4.3,6.4,9.9,11357,0.0
7,Draven,7,3,4,0.429,6.0,11.0,6.9,14655,0.0
7,Vel Koz,7,0,7,0,6.0,9.3,10.3,14740,0.0
7,Maokai,6,5,1,0.833,4.8,5.2,14.7,13805,0.0
7,Twitch,6,2,4,0.333,6.3,7.7,8.2,12801,0.0
7,Shen,6,2,4,0.333,4.2,4.5,15.3,12318,0.0
7,Nidalee,5,2,3,0.4,5.8,5.8,5.0,10138,0.0
