Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
9,Lissandra,14,6,8,0.429,3.2,7.1,7.2,8133,4.1
9,Heimerdinger,8,4,4,0.5,3.5,5.5,6.8,8860,4.9
9,Poppy,5,1,4,0.2,2.4,6.6,4.6,8085,4.5
9,Sion,4,2,2,0.5,3.8,5.3,12.5,11202,4.4
9,Taliyah,3,2,1,0.667,7.3,7.0,11.7,11911,4.2
9,Sona,2,2,0,1,3.5,5.0,14.0,9088,0.6
9,Hecarim,2,1,1,0.5,3.5,5.5,5.5,9049,5.6
9,Irelia,2,1,1,0.5,3.5,8.5,2.5,8000,5.5
9,Kassadin,2,0,2,0,1.5,5.0,1.0,5399,4.0
9,Nasus,1,0,1,0,2.0,8.0,5.0,7224,5.2
9,Teemo,1,0,1,0,1.0,10.0,5.0,5650,3.1
11,Poppy,9,4,5,0.444,7.7,5.8,9.2,10811,4.1
11,Nunu Willump,8,4,4,0.5,4.9,5.8,10.9,9291,3.9
11,Hecarim,3,1,2,0.333,7.3,8.0,7.3,11329,4.7
11,Sejuani,3,1,2,0.333,2.3,6.7,8.7,8488,3.8
11,Taliyah,1,0,1,0,2.0,6.0,3.0,6034,4.4
