Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
11,Irelia,3,1,2,0.333,11.7,8.3,5.3,18273,7.0
11,Akali,2,2,0,1,8.5,5.5,5.0,10534,5.2
11,Garen,2,1,1,0.5,3.5,2.5,1.5,8504,6.1
11,Gangplank,1,1,0,1,3.0,0.0,6.0,7137,7.6
11,Mordekaiser,1,1,0,1,1.0,3.0,1.0,6700,6.4
11,Cho Gath,1,1,0,1,3.0,2.0,6.0,9109,5.7
11,LeBlanc,1,1,0,1,15.0,0.0,5.0,12632,7.4
11,Evelynn,1,1,0,1,14.0,5.0,11.0,13664,5.4
11,Nidalee,1,1,0,1,8.0,2.0,2.0,8054,5.7
11,Kayn,1,0,1,0,9.0,8.0,7.0,13594,5.2
11,Ahri,1,0,1,0,13.0,9.0,7.0,13338,3.6
