Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
11,Miss Fortune,20,11,9,0.55,3.8,5.2,6.9,9476,5.0
11,Heimerdinger,15,7,8,0.467,2.8,4.7,7.3,9151,4.4
11,Varus,11,6,5,0.545,3.5,3.9,5.5,8281,4.6
11,Neeko,9,5,4,0.556,3.9,5.3,6.2,9567,5.1
11,Lux,9,5,4,0.556,3.1,5.1,8.9,9565,3.3
11,Xayah,9,5,4,0.556,2.4,5.1,5.9,9259,5.3
11,Ashe,6,3,3,0.5,2.5,5.0,8.5,8432,4.8
11,Senna,6,3,3,0.5,1.5,5.2,8.5,7207,3.9
11,Kog Maw,4,2,2,0.5,3.8,4.3,8.3,10534,5.6
11,Sivir,4,1,3,0.25,5.3,7.3,11.3,11192,4.4
11,Galio,3,1,2,0.333,5.0,7.3,11.7,10447,3.9
11,Orianna,1,0,1,0,1.0,8.0,3.0,9312,4.9
11,Ahri,1,0,1,0,2.0,9.0,6.0,10484,5.3
11,Tristana,1,0,1,0,2.0,13.0,2.0,6225,3.9
