Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
5,Zac,25,11,14,0.44,4.0,5.1,12.3,10159,0.0
5,Draven,11,2,9,0.18181818181818182,5.8,6.4,6.3,11879,0.0
5,Heimerdinger,9,3,6,0.3333333333333333,4.7,6.1,5.7,9432,0.0
5,Tryndamere,4,1,3,0.25,7.5,6.5,6.5,12816,0.0
5,Rengar,4,1,3,0.25,6.0,8.8,8.0,10843,0.0
6,Draven,161,86,75,0.5341614906832298,9.4,6.0,7.5,14554,0.0
6,Zac,101,50,51,0.49504950495049505,6.0,4.9,12.2,12955,0.0
6,Annie,8,5,3,0.625,5.1,6.1,7.3,10969,0.0
6,Kled,5,1,4,0.2,3.4,5.6,5.2,10396,0.0
6,Maokai,5,1,4,0.2,3.6,4.8,8.0,11059,0.0
6,Rengar,4,1,3,0.25,5.0,7.0,6.0,10949,0.0
6,Kha Zix,3,1,2,0.3333333333333333,2.3,5.7,2.0,6739,0.0
6,Jhin,3,0,3,0,7.7,7.3,9.7,11597,0.0
6,Nasus,2,2,0,1,8.5,2.5,3.0,11934,0.0
6,Ekko,2,1,1,0.5,3.5,7.0,6.0,11020,0.0
6,Sion,2,0,2,0,1.5,6.5,4.0,12615,0.0
6,Heimerdinger,1,0,1,0,2.0,9.0,4.0,7271,0.0
6,Garen,1,0,1,0,8.0,4.0,3.0,14650,0.0
6,Tryndamere,1,0,1,0,5.0,13.0,15.0,16744,0.0
6,Kog Maw,1,0,1,0,8.0,6.0,12.0,14718,0.0
7,Draven,231,135,96,0.5844155844155844,8.8,5.6,6.8,14521,0.0
7,Tahm Kench,51,26,25,0.5098039215686274,3.7,6.1,8.6,10891,0.0
7,Zac,22,8,14,0.36363636363636365,4.5,4.8,9.7,10773,0.0
7,Jhin,17,6,11,0.35294117647058826,5.9,5.8,8.8,11188,0.0
7,Kled,11,7,4,0.6363636363636364,7.1,6.3,6.8,12634,0.0
7,Malphite,5,1,4,0.2,2.4,4.0,5.8,8702,0.0
7,Kog Maw,3,1,2,0.3333333333333333,2.7,6.0,7.3,10548,0.0
7,Volibear,3,0,3,0,4.7,6.7,5.3,11186,0.0
7,Ekko,2,1,1,0.5,4.0,4.5,7.0,8977,0.0
7,Tryndamere,2,1,1,0.5,2.5,6.0,3.0,9537,0.0
7,Annie,1,0,1,0,0.0,10.0,12.0,8163,0.0
7,Urgot,1,0,1,0,4.0,12.0,2.0,10329,0.0
8,Draven,12,4,8,0.3333333333333333,3.8,4.0,6.5,10928,0.0
8,Kog Maw,2,2,0,1,3.0,3.5,6.5,10545,0.0
8,Zac,2,0,2,0,1.0,7.0,7.0,7225,0.0
8,Jhin,1,0,1,0,3.0,8.0,13.0,12006,0.0
9,Draven,37,18,19,0.4864864864864865,6.2,5.6,6.9,12023,5.7
9,Zac,11,7,4,0.6363636363636364,2.9,4.1,8.4,8297,3.9
9,Jhin,6,2,4,0.3333333333333333,6.5,5.2,7.5,11201,5.1
10,Draven,196,88,108,0.4489795918367347,5.8,5.2,6.6,11781,5.6
10,Zac,25,16,9,0.64,3.2,4.0,10.9,9512,4.3
10,Lucian,8,3,5,0.375,5.9,6.1,5.4,9859,5.1
10,Jhin,4,3,1,0.75,2.3,5.8,12.0,10123,4.8
10,Volibear,1,0,1,0,4.0,10.0,3.0,7759,3.9
11,Draven,34,19,15,0.5588235294117647,7.7,4.8,7.1,13060,6.3
11,Zac,4,0,4,0,3.5,7.5,9.8,9834,3.4
11,Rengar,2,1,1,0.5,6.0,6.5,7.0,9918,4.4
11,Kha Zix,1,0,1,0,3.0,9.0,3.0,8566,4.5
11,Rek Sai,1,0,1,0,3.0,10.0,13.0,12455,4.3
11,Lucian,1,0,1,0,8.0,9.0,10.0,12142,4.8
