Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
7,Blitzcrank,1,0,1,0,2.0,10.0,10.0,9971,0.0
8,Darius,5,3,2,0.6,4.4,5.2,5.4,11814,0.0
8,Sion,5,3,2,0.6,2.0,3.4,8.6,8466,0.0
8,Nautilus,4,1,3,0.25,1.3,5.5,7.8,6880,0.0
8,Kled,1,1,0,1,5.0,1.0,5.0,7709,0.0
8,Blitzcrank,1,0,1,0,0.0,7.0,5.0,7058,0.0
8,Dr. Mundo,1,0,1,0,4.0,5.0,7.0,8256,0.0
9,Dr. Mundo,3,3,0,1,5.3,3.7,6.0,11844,5.7
9,Sion,3,2,1,0.6666666666666666,1.7,3.7,6.3,8615,5.0
9,Nautilus,3,1,2,0.3333333333333333,4.7,5.7,14.0,9898,1.7
9,Tahm Kench,1,0,1,0,2.0,8.0,7.0,6406,1.2
10,Nautilus,73,43,30,0.589041095890411,1.9,5.5,11.1,7211,1.3
10,Leona,27,17,10,0.6296296296296297,1.6,5.0,10.4,7136,0.9
10,Dr. Mundo,11,6,5,0.5454545454545454,4.5,4.9,8.4,11438,5.9
10,Pyke,1,1,0,1,6.0,4.0,6.0,9512,1.4
11,Nautilus,10,3,7,0.3,1.9,6.6,13.1,8191,1.5
11,Alistar,8,2,6,0.25,1.0,6.1,10.8,6738,0.9
11,Leona,7,3,4,0.42857142857142855,2.0,5.4,12.0,7284,1.1
11,Vi,4,2,2,0.5,3.0,5.3,7.0,8509,4.8
11,Amumu,3,1,2,0.3333333333333333,2.0,6.7,15.0,10255,3.8
11,Swain,1,1,0,1,11.0,3.0,14.0,10486,1.2
11,Lillia,1,1,0,1,3.0,8.0,10.0,13042,4.9
11,Brand,1,0,1,0,8.0,15.0,17.0,13222,1.8
11,Gragas,1,0,1,0,0.0,7.0,0.0,3790,2.7
11,Nunu Willump,1,0,1,0,4.0,14.0,20.0,14645,3.0
11,Pyke,1,0,1,0,8.0,11.0,8.0,16189,4.1
