Season,Champion,Games Played,Wins,Losses,Winrate,Kills,Deaths,Assists,Gold,CS/m
5,Rek Sai,18,8,10,0.4444444444444444,7.4,6.3,4.6,11893,0.0
5,Rengar,4,3,1,0.75,9.8,7.0,6.8,14230,0.0
5,Zed,4,1,3,0.25,5.0,8.0,6.0,11922,0.0
5,Braum,3,1,2,0.3333333333333333,1.0,7.7,12.0,8844,0.0
5,Darius,3,1,2,0.3333333333333333,8.7,8.3,4.0,11752,0.0
5,Garen,1,1,0,1,6.0,4.0,7.0,9096,0.0
5,Malphite,1,1,0,1,9.0,2.0,9.0,12043,0.0
5,Fiora,1,0,1,0,2.0,7.0,2.0,5403,0.0
5,Kalista,1,0,1,0,2.0,10.0,6.0,7233,0.0
5,Diana,1,0,1,0,3.0,6.0,1.0,5703,0.0
6,Talon,42,22,20,0.5238095238095238,11.5,6.9,7.3,15365,0.0
6,Jhin,34,14,20,0.4117647058823529,10.0,6.8,10.0,14441,0.0
6,Malphite,19,10,9,0.5263157894736842,5.1,4.6,8.6,11044,0.0
6,Renekton,17,10,7,0.5882352941176471,8.7,5.2,7.2,15076,0.0
6,Nasus,12,5,7,0.4166666666666667,5.6,4.8,3.9,12892,0.0
6,Tryndamere,5,2,3,0.4,7.2,5.6,3.8,14756,0.0
6,Rek Sai,5,2,3,0.4,6.2,4.8,8.2,13145,0.0
6,Nocturne,3,2,1,0.6666666666666666,6.0,6.7,10.3,11840,0.0
6,Fizz,3,2,1,0.6666666666666666,3.3,4.7,2.3,8311,0.0
6,Yasuo,3,2,1,0.6666666666666666,7.7,9.3,11.0,17896,0.0
6,Wukong,2,2,0,1,6.0,6.5,9.5,12552,0.0
6,Cho Gath,2,0,2,0,4.5,5.0,2.5,9482,0.0
6,Ahri,2,0,2,0,6.5,7.5,8.0,14480,0.0
6,Zed,1,1,0,1,7.0,4.0,5.0,10580,0.0
6,Vladimir,1,1,0,1,4.0,9.0,10.0,14196,0.0
6,Akali,1,1,0,1,11.0,9.0,5.0,15517,0.0
6,Vi,1,0,1,0,4.0,7.0,8.0,13432,0.0
6,Braum,1,0,1,0,3.0,6.0,16.0,8734,0.0
6,Rammus,1,0,1,0,6.0,7.0,12.0,14906,0.0
6,Jax,1,0,1,0,6.0,9.0,4.0,12575,0.0
7,Nasus,91,60,31,0.6593406593406593,7.2,4.8,6.1,13098,0.0
